last_name, first_name,year,n_bolts,hp_to_1b,sprint_speed,
Anderson, Brian,2020,0,4.56,26.4,
Leon, Sandy,2020,0,,23.6,
Encarnacion, Edwin,2020,0,4.79,25.6,
Cervelli, Francisco,2020,0,,24.2,
Yastrzemski, Mike,2020,0,4.34,27.5,
Marte, Ketel,2020,2,4.31,27.7,
Sandoval, Pablo,2020,0,4.73,24.0,
Soler, Jorge,2020,0,4.71,26.5,
Mathis, Jeff,2020,0,,25.4,
Moore, Dylan,2020,0,4.32,27.7,
Calhoun, Willie,2020,0,4.73,25.5,
Murphy, Daniel,2020,0,4.55,26.5,
Belt, Brandon,2020,0,4.56,25.2,
Wolters, Tony,2020,0,4.62,26.0,
Bonifacio, Jorge,2020,0,4.37,28.4,
Gurriel Jr., Lourdes,2020,0,4.53,26.3,
Farmer, Kyle,2020,0,,26.7,
Berti, Jon,2020,13,4.21,29.3,
Bader, Harrison,2020,13,4.16,29.4,
Baez, Javier,2020,1,4.32,27.9,
Judge, Aaron,2020,0,,26.8,
Benintendi, Andrew,2020,0,,26.6,
LeMahieu, DJ,2020,0,4.69,26.1,
Castro, Jason,2020,0,,26.6,
Alonso, Pete,2020,0,4.61,26.2,
Ruf, Darin,2020,0,4.73,25.7,
Ohtani, Shohei,2020,2,4.04,28.8,
Lin, Tzu-Wei,2020,0,,27.5,
Crawford, J.P.,2020,2,4.46,26.6,
Story, Trevor,2020,4,4.26,28.9,
Pujols, Albert,2020,0,,22.0,
Heyward, Jason,2020,0,4.42,27.0,
Gonzalez, Marwin,2020,0,4.62,25.5,
Reyes, Franmil,2020,0,4.78,26.2,
Diaz, Aledmys,2020,0,4.51,27.3,
Donaldson, Josh,2020,0,4.75,25.0,
Villar, Jonathan,2020,1,4.43,27.1,
Santana, Domingo,2020,0,4.54,26.8,
Harper, Bryce,2020,0,4.38,27.9,
Pham, Tommy,2020,2,4.47,28.2,
Lopez, Nicky,2020,0,4.26,27.7,
Smoak, Justin,2020,0,,22.9,
Semien, Marcus,2020,0,4.36,28.1,
Polanco, Jorge,2020,1,4.15,27.8,
Olivares, Edward,2020,2,4.26,28.9,
Lux, Gavin,2020,0,4.20,27.7,
Garcia, Greg,2020,0,,27.4,
Hiura, Keston,2020,0,4.58,27.0,
Cron, C.J.,2020,0,,24.9,
Suzuki, Kurt,2020,0,,24.1,
Shaw, Travis,2020,0,4.65,24.9,
Santander, Anthony,2020,0,,26.7,
Carlson, Dylan,2020,0,4.39,27.9,
Chisholm, Jazz,2020,2,,28.1,
Rosario, Amed,2020,4,4.26,28.7,
Peraza, Jose,2020,0,4.26,28.2,
Robert, Luis,2020,18,4.24,29.1,
Senzel, Nick,2020,3,4.39,29.3,
Acuna Jr., Ronald,2020,12,,29.2,
Hedges, Austin,2020,0,,23.7,
Davis, J.D.,2020,0,4.53,27.2,
Moustakas, Mike,2020,0,4.88,24.9,
Cooper, Garrett,2020,0,4.65,25.9,
McNeil, Jeff,2020,0,4.13,27.0,
Galvis, Freddy,2020,0,4.43,25.9,
Peralta, David,2020,0,4.38,27.0,
Fowler, Dexter,2020,0,,26.6,
Murphy, John Ryan,2020,0,,25.6,
Eaton, Adam,2020,0,4.24,27.9,
Dyson, Jarrod,2020,9,4.27,26.9,
Frazier, Adam,2020,0,4.41,27.1,
Jeffers, Ryan,2020,0,4.75,25.6,
Cave, Jake,2020,2,4.34,27.8,
Gomes, Yan,2020,0,4.67,26.0,
Andrus, Elvis,2020,0,4.48,26.3,
Schwarber, Kyle,2020,1,4.36,26.9,
Ramos, Wilson,2020,0,5.00,23.3,
Escobar, Eduardo,2020,0,4.25,28.0,
Nimmo, Brandon,2020,0,4.32,28.0,
Myers, Wil,2020,3,4.41,28.3,
Toro, Abraham,2020,0,4.29,27.2,
Taylor, Chris,2020,0,4.36,28.4,
Lindor, Francisco,2020,0,4.42,27.4,
Fletcher, David,2020,1,4.32,27.3,
Carpenter, Matt,2020,0,4.53,25.6,
Flowers, Tyler,2020,0,,24.2,
Brantley, Michael,2020,0,4.63,26.2,
Muncy, Max,2020,0,4.42,27.3,
Realmuto, J.T.,2020,0,4.39,28.2,
Casali, Curt,2020,0,,24.1,
Gordon, Alex,2020,0,4.73,25.0,
Zimmer, Bradley,2020,2,,28.3,
Duvall, Adam,2020,0,4.44,28.0,
La Stella, Tommy,2020,0,4.54,25.4,
Iglesias, Jose,2020,0,4.19,27.1,
Gardner, Brett,2020,2,4.16,28.2,
Gyorko, Jedd,2020,0,,23.9,
Nunez, Renato,2020,0,4.69,26.6,
Santana, Carlos,2020,0,,25.5,
Hernandez, Cesar,2020,6,4.24,28.5,
Hicks, Aaron,2020,1,4.22,27.5,
Holt, Brock,2020,0,4.44,25.6,
Aguilar, Jesus,2020,0,4.93,24.5,
Gallagher, Cam,2020,0,4.79,24.9,
Dickerson, Corey,2020,0,4.36,27.0,
Murphy, Sean,2020,0,4.73,25.6,
Tucker, Cole,2020,1,4.23,28.5,
Moran, Colin,2020,0,4.85,24.3,
Haseley, Adam,2020,0,4.41,26.8,
Piscotty, Stephen,2020,0,4.59,26.5,
Schoop, Jonathan,2020,0,4.50,27.2,
Freeman, Freddie,2020,0,4.47,26.4,
Simmons, Andrelton,2020,0,4.62,26.1,
Romine, Austin,2020,0,4.77,25.1,
Pollock, AJ,2020,2,4.41,28.2,
Merrifield, Whit,2020,1,4.33,28.4,
O'Neill, Tyler,2020,13,4.22,29.6,
Arauz, Jonathan,2020,0,,25.9,
Gurriel, Yuli,2020,0,4.48,27.2,
Ahmed, Nick,2020,1,4.43,28.1,
Kemp, Tony,2020,0,,26.6,
d'Arnaud, Travis,2020,0,4.66,26.3,
Tromp, Chadwick,2020,0,4.77,25.1,
Moncada, Yoan,2020,2,,27.5,
Bell, Josh,2020,0,4.49,26.2,
Arcia, Orlando,2020,0,4.58,26.2,
Davis, Chris,2020,0,,23.9,
Davis, Khris,2020,0,4.81,25.5,
Rojas, Josh,2020,0,,27.3,
Diaz, Yandy,2020,0,4.66,26.0,
Torres, Gleyber,2020,0,4.58,26.4,
Caratini, Victor,2020,0,4.89,24.6,
Hernandez, Teoscar,2020,0,4.39,28.3,
Lamb, Jake,2020,0,,26.7,
Verdugo, Alex,2020,2,4.25,27.5,
France, Ty,2020,0,4.85,25.2,
Plawecki, Kevin,2020,0,4.73,25.5,
Barnhart, Tucker,2020,0,4.73,24.3,
McMahon, Ryan,2020,0,4.61,25.9,
Lewis, Kyle,2020,1,4.42,27.9,
Molina, Yadier,2020,0,4.99,23.0,
Harrison, Josh,2020,0,4.42,26.8,
Wendle, Joey,2020,0,4.24,28.2,
Vazquez, Christian,2020,0,4.65,25.0,
Yelich, Christian,2020,0,4.37,28.1,
Kelly, Carson,2020,0,4.84,25.6,
Gallo, Joey,2020,0,4.55,27.1,
Wong, Kolten,2020,1,4.29,26.6,
Aquino, Aristides,2020,0,,27.9,
Castro, Starlin,2020,0,,26.1,
Maybin, Cameron,2020,0,4.39,27.6,
Kiner-Falefa, Isiah,2020,0,4.25,28.1,
Heineman, Tyler,2020,0,,25.9,
Kemp, Matt,2020,0,4.68,25.9,
Dahl, David,2020,0,4.39,26.8,
Hernandez, Enrique,2020,0,4.45,27.2,
Segura, Jean,2020,0,4.24,28.3,
Sisco, Chance,2020,0,4.74,24.1,
Lowe, Nate,2020,0,,27.0,
Devers, Rafael,2020,0,4.38,26.5,
Garcia, Jose,2020,0,,26.7,
Straw, Myles,2020,4,4.18,28.6,
Vogt, Stephen,2020,0,,26.1,
Beaty, Matt,2020,0,,26.9,
Ervin, Phillip,2020,0,4.55,27.5,
Rojas, Miguel,2020,0,4.66,26.5,
Slater, Austin,2020,0,4.43,27.8,
