last_name, first_name,year,player_age,b_ab,b_total_hits,b_single,b_strikeout,batting_avg,b_hit_ground,b_hit_line_drive,b_out_ground,
Anderson, Brian,2020,27,200,51,32,66,.255,20,22,46,
Leon, Sandy,2020,31,66,9,6,21,.136,3,5,17,
Encarnacion, Edwin,2020,37,159,25,10,54,.157,6,12,30,
Cervelli, Francisco,2020,34,53,13,8,14,.245,4,7,13,
Walker, Neil,2020,35,39,9,6,13,.231,2,7,6,
Yastrzemski, Mike,2020,30,192,57,29,55,.297,13,31,40,
Marte, Ketel,2020,27,181,52,35,21,.287,21,28,55,
Sandoval, Pablo,2020,34,84,18,16,19,.214,9,7,24,
Apostel, Sherten,2020,21,20,2,1,9,.100,0,2,8,
Soler, Jorge,2020,28,149,34,18,60,.228,5,24,29,
Mathis, Jeff,2020,37,62,10,5,24,.161,2,6,11,
Moore, Dylan,2020,28,137,35,18,43,.255,7,23,26,
Walton, Donovan,2020,26,13,2,1,5,.154,1,1,4,
Oliva, Jared,2020,25,16,3,3,6,.188,2,0,3,
Calhoun, Willie,2020,26,100,19,15,17,.190,12,4,28,
Murphy, Daniel,2020,35,123,29,23,21,.236,11,16,32,
Belt, Brandon,2020,32,149,46,23,36,.309,6,30,30,
Wolters, Tony,2020,28,100,23,19,30,.230,4,16,26,
Bonifacio, Jorge,2020,27,86,19,14,26,.221,8,6,17,
Ramirez, Harold,2020,26,10,2,2,2,.200,1,1,3,
Gurriel Jr., Lourdes,2020,27,208,64,39,48,.308,16,42,51,
Farmer, Kyle,2020,30,64,17,14,13,.266,6,10,14,
Heredia, Guillermo,2020,29,33,7,5,9,.212,0,5,4,
Berti, Jon,2020,30,120,31,24,37,.258,13,13,35,
Bader, Harrison,2020,26,106,24,11,40,.226,7,11,20,
Alcantara, Sergio,2020,24,21,3,1,4,.143,0,2,6,
Fisher, Derek,2020,27,31,7,3,11,.226,1,5,7,
Baez, Javier,2020,28,222,45,27,75,.203,18,20,57,
Schrock, Max,2020,26,17,3,2,6,.176,1,1,3,
Colon, Christian,2020,31,23,3,2,3,.130,3,0,8,
Judge, Aaron,2020,28,101,26,14,32,.257,5,13,22,
Benintendi, Andrew,2020,26,39,4,3,17,.103,3,0,11,
LeMahieu, DJ,2020,32,195,71,49,21,.364,27,37,73,
Castro, Jason,2020,33,80,15,4,33,.188,4,9,11,
Collins, Zack,2020,25,16,1,0,5,.063,0,1,3,
Alonso, Pete,2020,26,208,48,26,61,.231,14,21,45,
Ruf, Darin,2020,34,87,24,13,23,.276,6,14,21,
Ohtani, Shohei,2020,26,153,29,16,50,.190,7,19,44,
Lin, Tzu-Wei,2020,26,52,8,7,17,.154,3,5,14,
Nido, Tomas,2020,26,24,7,4,6,.292,4,3,8,
Crawford, J.P.,2020,25,204,52,41,39,.255,20,27,54,
Story, Trevor,2020,28,235,68,40,63,.289,18,40,33,
Pujols, Albert,2020,40,152,34,20,25,.224,8,22,43,
Bishop, Braden,2020,27,30,5,3,10,.167,1,4,10,
Cain, Lorenzo,2020,34,18,6,5,2,.333,0,6,8,
Mathisen, Wyatt,2020,27,27,6,4,12,.222,2,2,2,
Heyward, Jason,2020,31,147,39,25,37,.265,10,25,41,
Gonzalez, Marwin,2020,31,175,37,28,41,.211,10,21,47,
Mateo, Jorge,2020,25,26,4,1,11,.154,0,4,3,
Reyes, Franmil,2020,25,211,58,39,69,.275,28,22,47,
Chang, Yu,2020,25,11,2,2,4,.182,1,1,4,
Alford, Anthony,2020,26,28,6,3,8,.214,3,2,8,
Diaz, Aledmys,2020,30,58,14,6,12,.241,4,7,16,
Donaldson, Josh,2020,35,81,18,10,24,.222,5,10,27,
Almora Jr., Albert,2020,26,30,5,4,9,.167,4,1,8,
Villar, Jonathan,2020,29,185,43,36,54,.232,19,20,61,
Santana, Domingo,2020,28,70,11,6,25,.157,5,4,22,
Harper, Bryce,2020,28,190,51,27,43,.268,16,24,44,
Pham, Tommy,2020,32,109,23,18,27,.211,14,9,37,
Lopez, Nicky,2020,25,169,34,25,41,.201,11,21,63,
Smoak, Justin,2020,34,119,21,9,42,.176,3,13,28,
Huff, Sam,2020,22,31,11,5,11,.355,2,6,4,
Dozier, Brian,2020,33,15,2,2,5,.133,0,2,2,
Diaz, Lewin,2020,24,39,6,4,12,.154,3,3,8,
Semien, Marcus,2020,30,211,47,30,50,.223,12,25,41,
Polanco, Jorge,2020,27,209,54,42,35,.258,14,28,52,
Olivares, Edward,2020,24,96,23,17,25,.240,7,15,28,
Lux, Gavin,2020,23,63,11,6,19,.175,5,3,17,
Stephenson, Tyler,2020,24,17,5,3,9,.294,2,2,1,
Garcia, Greg,2020,31,60,12,9,18,.200,6,6,20,
Hiura, Keston,2020,24,217,46,29,85,.212,14,24,45,
Cron, C.J.,2020,30,42,8,1,16,.190,2,4,8,
Suzuki, Kurt,2020,37,111,30,20,19,.270,8,17,25,
Shaw, Travis,2020,30,163,39,23,50,.239,8,20,32,
Santander, Anthony,2020,26,153,40,15,25,.261,7,25,25,
Garlick, Kyle,2020,28,22,3,2,7,.136,1,2,6,
Alvarez, Eddy,2020,30,37,7,6,16,.189,5,1,10,
Carlson, Dylan,2020,22,110,22,11,35,.200,5,16,29,
Chisholm, Jazz,2020,22,56,9,5,19,.161,2,4,12,
Rosario, Amed,2020,25,143,36,28,34,.252,16,16,47,
Peraza, Jose,2020,26,111,25,15,18,.225,7,13,26,
Robert, Luis,2020,23,202,47,28,73,.233,15,28,35,
Senzel, Nick,2020,25,70,13,5,15,.186,5,6,17,
Noll, Jake,2020,26,17,6,5,4,.353,3,3,3,
Acuna Jr., Ronald,2020,23,160,40,15,60,.250,7,22,29,
Hedges, Austin,2020,28,69,10,6,23,.145,2,5,23,
Smith, Mallex,2020,27,45,6,4,13,.133,5,1,18,
Davis, J.D.,2020,27,190,47,32,56,.247,19,20,57,
Moustakas, Mike,2020,32,139,32,15,36,.230,6,19,32,
Cooper, Garrett,2020,30,120,34,20,31,.283,9,22,33,
McNeil, Jeff,2020,28,183,57,39,24,.311,26,25,46,
Odom, Joseph,2020,28,39,5,5,20,.128,3,2,7,
Galvis, Freddy,2020,31,141,31,19,30,.220,9,12,44,
Peralta, David,2020,33,203,61,45,45,.300,25,33,57,
Fowler, Dexter,2020,34,90,21,15,28,.233,6,11,21,
Murphy, John Ryan,2020,29,58,10,8,28,.172,1,8,13,
Marisnick, Jake,2020,29,33,11,6,10,.333,4,5,7,
Eaton, Adam,2020,32,159,36,20,32,.226,14,19,55,
